,artist,track,week start,week end,place
0,2 Pac,Baby Don't Cry (Keep Ya Head Up II),2000-02-26,2000-03-04,87.0
1,2 Pac,Baby Don't Cry (Keep Ya Head Up II),2000-03-04,2000-03-11,82.0
2,2 Pac,Baby Don't Cry (Keep Ya Head Up II),2000-03-11,2000-03-18,72.0
3,2 Pac,Baby Don't Cry (Keep Ya Head Up II),2000-03-18,2000-03-25,77.0
4,2 Pac,Baby Don't Cry (Keep Ya Head Up II),2000-03-25,2000-04-01,87.0
5,2 Pac,Baby Don't Cry (Keep Ya Head Up II),2000-04-01,2000-04-08,94.0
6,2 Pac,Baby Don't Cry (Keep Ya Head Up II),2000-04-08,2000-04-15,99.0
7,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2000-09-02,2000-09-09,91.0
8,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2000-09-09,2000-09-16,87.0
9,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),2000-09-16,2000-09-23,92.0
10,3 Doors Down,Kryptonite,2000-06-10,2000-06-17,51.0
11,3 Doors Down,Kryptonite,2000-06-17,2000-06-24,51.0
12,3 Doors Down,Kryptonite,2000-06-24,2000-07-01,51.0
13,3 Doors Down,Kryptonite,2000-07-01,2000-07-08,47.0
14,3 Doors Down,Kryptonite,2000-07-08,2000-07-15,44.0
15,3 Doors Down,Kryptonite,2000-07-15,2000-07-22,38.0
16,3 Doors Down,Kryptonite,2000-07-22,2000-07-29,28.0
17,3 Doors Down,Kryptonite,2000-07-29,2000-08-05,22.0
18,3 Doors Down,Kryptonite,2000-08-05,2000-08-12,18.0
19,3 Doors Down,Kryptonite,2000-08-12,2000-08-19,18.0
20,3 Doors Down,Kryptonite,2000-04-08,2000-04-15,81.0
21,3 Doors Down,Kryptonite,2000-08-19,2000-08-26,14.0
22,3 Doors Down,Kryptonite,2000-08-26,2000-09-02,12.0
23,3 Doors Down,Kryptonite,2000-09-02,2000-09-09,7.0
24,3 Doors Down,Kryptonite,2000-09-09,2000-09-16,6.0
25,3 Doors Down,Kryptonite,2000-09-16,2000-09-23,6.0
26,3 Doors Down,Kryptonite,2000-09-23,2000-09-30,6.0
27,3 Doors Down,Kryptonite,2000-09-30,2000-10-07,5.0
28,3 Doors Down,Kryptonite,2000-10-07,2000-10-14,5.0
29,3 Doors Down,Kryptonite,2000-10-14,2000-10-21,4.0
30,3 Doors Down,Kryptonite,2000-10-21,2000-10-28,4.0
31,3 Doors Down,Kryptonite,2000-04-15,2000-04-22,70.0
32,3 Doors Down,Kryptonite,2000-10-28,2000-11-04,4.0
33,3 Doors Down,Kryptonite,2000-11-04,2000-11-11,4.0
34,3 Doors Down,Kryptonite,2000-11-11,2000-11-18,3.0
35,3 Doors Down,Kryptonite,2000-11-18,2000-11-25,3.0
36,3 Doors Down,Kryptonite,2000-11-25,2000-12-02,3.0
37,3 Doors Down,Kryptonite,2000-12-02,2000-12-09,4.0
38,3 Doors Down,Kryptonite,2000-12-09,2000-12-16,5.0
39,3 Doors Down,Kryptonite,2000-12-16,2000-12-23,5.0
40,3 Doors Down,Kryptonite,2000-12-23,2000-12-30,9.0
41,3 Doors Down,Kryptonite,2000-12-30,2001-01-06,9.0
42,3 Doors Down,Kryptonite,2000-04-22,2000-04-29,68.0
43,3 Doors Down,Kryptonite,2001-01-06,2001-01-13,15.0
44,3 Doors Down,Kryptonite,2001-01-13,2001-01-20,14.0
45,3 Doors Down,Kryptonite,2001-01-20,2001-01-27,13.0
46,3 Doors Down,Kryptonite,2001-01-27,2001-02-03,14.0
47,3 Doors Down,Kryptonite,2001-02-03,2001-02-10,16.0
48,3 Doors Down,Kryptonite,2001-02-10,2001-02-17,17.0
49,3 Doors Down,Kryptonite,2001-02-17,2001-02-24,21.0
50,3 Doors Down,Kryptonite,2001-02-24,2001-03-03,22.0
51,3 Doors Down,Kryptonite,2001-03-03,2001-03-10,24.0
52,3 Doors Down,Kryptonite,2001-03-10,2001-03-17,28.0
53,3 Doors Down,Kryptonite,2000-04-29,2000-05-06,67.0
54,3 Doors Down,Kryptonite,2001-03-17,2001-03-24,33.0
55,3 Doors Down,Kryptonite,2001-03-24,2001-03-31,42.0
56,3 Doors Down,Kryptonite,2001-03-31,2001-04-07,42.0
57,3 Doors Down,Kryptonite,2001-04-07,2001-04-14,49.0
58,3 Doors Down,Kryptonite,2000-05-06,2000-05-13,66.0
59,3 Doors Down,Kryptonite,2000-05-13,2000-05-20,57.0
60,3 Doors Down,Kryptonite,2000-05-20,2000-05-27,54.0
61,3 Doors Down,Kryptonite,2000-05-27,2000-06-03,53.0
62,3 Doors Down,Kryptonite,2000-06-03,2000-06-10,51.0
63,3 Doors Down,Loser,2000-12-23,2000-12-30,61.0
